구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2013년05월12일,1777.82,1688.67,1670.95,1688.68,1672.45,1705.31,1677.22,1696.15,1710.62,1696.97,1715.41,1689.85,1693.39,1684.45,1689.10,1748.34,1712.98
2013년05월13일,1777.83,1688.60,1670.98,1686.58,1672.05,1705.50,1677.33,1695.97,1709.84,1696.58,1714.66,1689.52,1692.61,1683.92,1688.63,1748.09,1712.40
2013년05월14일,1777.67,1688.08,1670.22,1686.91,1671.05,1705.25,1675.63,1695.59,1708.59,1695.92,1713.97,1688.56,1691.46,1682.68,1687.93,1749.22,1714.62
2013년05월15일,1777.94,1687.58,1669.30,1686.16,1669.89,1705.37,1674.66,1695.36,1707.52,1695.23,1713.02,1687.79,1690.20,1682.27,1686.79,1751.01,1713.68
2013년05월16일,1777.28,1687.27,1669.77,1686.63,1670.03,1704.72,1674.49,1695.14,1707.34,1694.29,1712.34,1687.55,1689.49,1681.41,1685.95,1751.39,1710.46
2013년05월17일,1778.38,1686.26,1668.65,1686.37,1669.51,1703.94,1674.54,1694.80,1706.15,1694.21,1711.91,1686.87,1688.66,1681.08,1685.04,1746.86,1711.94
2013년05월18일,1779.36,1686.01,1668.68,1687.04,1669.42,1704.18,1674.59,1694.66,1705.67,1694.28,1711.93,1686.24,1688.52,1680.84,1684.93,1743.25,1710.64
2013년05월19일,1778.56,1686.32,1668.67,1686.84,1669.77,1703.46,1674.06,1694.25,1705.29,1693.94,1711.33,1686.00,1687.62,1680.63,1684.66,1742.48,1709.90
2013년05월20일,1777.75,1686.81,1668.02,1687.08,1669.47,1703.93,1675.10,1694.80,1705.66,1694.30,1711.17,1685.95,1687.48,1680.39,1684.72,1742.34,1711.27
2013년05월21일,1779.99,1686.93,1668.99,1686.15,1670.15,1704.18,1675.23,1695.60,1704.90,1694.49,1710.43,1685.82,1687.76,1680.52,1684.46,1741.12,1709.22
2013년05월22일,1779.71,1686.17,1668.74,1687.09,1669.68,1703.49,1675.42,1695.74,1704.75,1694.54,1710.54,1685.22,1687.07,1680.37,1684.41,1764.78,1709.31
2013년05월23일,1780.65,1687.84,1669.18,1688.73,1670.69,1703.69,1675.99,1696.80,1705.37,1694.85,1710.36,1686.05,1687.34,1680.71,1684.96,1769.51,1707.37
2013년05월24일,1781.22,1687.78,1669.33,1688.14,1670.45,1704.14,1675.49,1696.83,1705.17,1695.28,1710.65,1686.23,1687.06,1680.53,1684.75,1756.63,1708.48
2013년05월25일,1781.35,1688.07,1669.35,1687.86,1670.13,1703.72,1676.01,1696.60,1704.99,1694.48,1709.91,1685.50,1686.41,1679.82,1684.14,1755.11,1708.38
2013년05월26일,1781.24,1687.20,1668.65,1687.55,1670.78,1703.06,1675.33,1696.26,1704.50,1694.42,1709.81,1685.20,1686.28,1679.83,1683.92,1754.81,1707.55
2013년05월27일,1781.63,1688.24,1668.53,1687.71,1671.65,1702.71,1676.19,1696.59,1704.04,1694.31,1709.36,1685.80,1685.98,1680.11,1684.18,1755.11,1706.53
