구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2016년04월11일,480.00,626.66,540.50,581.14,551.77,601.25,705.58,585.57,538.54,578.58,553.67,559.78,530.41,512.62,558.28,580.32,606.50
2016년04월12일,480.00,626.66,547.50,583.85,540.66,601.25,705.58,586.25,538.81,580.03,555.28,565.14,530.89,512.54,558.89,580.95,606.50
2016년04월13일,480.00,626.66,547.50,583.85,551.77,599.00,705.58,584.33,538.40,580.70,553.78,558.76,528.87,511.60,559.30,581.62,606.50
2016년04월14일,480.00,626.66,547.50,583.85,551.77,599.00,705.58,584.38,538.56,580.78,555.53,559.18,528.77,514.12,557.02,576.62,606.50
2016년04월15일,480.00,626.66,547.50,583.85,551.77,599.00,691.54,583.22,539.85,579.94,554.04,558.56,528.77,513.22,557.45,570.15,606.50
2016년04월16일,480.00,632.00,547.50,577.33,551.77,599.00,705.58,585.51,540.10,580.62,555.63,560.08,529.39,514.57,559.82,574.47,606.50
2016년04월17일,480.00,632.00,548.00,577.33,551.77,599.00,705.58,586.17,537.63,581.72,555.57,559.18,530.37,513.56,559.67,574.65,607.80
2016년04월18일,480.00,632.00,548.00,581.14,551.77,599.00,705.58,586.18,537.81,580.71,554.49,557.75,530.07,513.55,559.21,579.00,607.80
2016년04월19일,480.00,632.00,548.00,579.85,562.88,599.00,705.58,587.53,537.27,584.34,555.38,554.67,529.22,513.57,558.79,577.92,607.80
2016년04월20일,480.00,632.00,547.50,579.85,551.77,599.00,701.41,584.21,536.98,581.22,554.52,556.03,528.59,515.38,558.79,577.59,607.80
2016년04월21일,500.00,632.00,547.50,584.00,551.77,599.00,701.41,584.18,536.66,581.72,552.69,556.35,528.73,511.21,557.59,577.59,607.80
2016년04월22일,500.00,632.00,547.50,584.00,551.77,599.00,701.41,587.66,537.16,582.03,556.09,556.94,529.07,513.12,557.51,577.59,607.80
2016년04월23일,500.00,632.00,547.50,584.00,551.77,599.00,701.41,585.27,537.00,580.55,554.00,557.77,527.96,511.64,557.06,577.40,607.80
2016년04월24일,500.00,632.00,547.50,584.00,551.77,619.00,701.41,586.01,537.20,578.52,552.57,557.39,528.56,511.06,558.72,577.40,607.80
2016년04월25일,500.00,632.00,547.50,584.00,551.77,619.00,701.41,585.97,536.96,582.59,553.37,557.39,528.37,511.59,559.41,566.68,603.80
2016년04월26일,490.00,632.00,547.50,589.57,550.77,619.00,701.41,581.51,535.28,582.81,554.42,557.29,528.70,512.52,557.99,567.35,598.16
2016년04월27일,490.00,632.00,547.50,589.57,550.77,619.00,701.41,581.48,537.15,579.86,554.84,557.41,527.80,513.59,558.57,567.14,592.33
2016년04월28일,490.00,632.00,542.80,592.50,550.77,619.00,701.41,582.13,536.31,583.49,554.77,556.56,527.13,512.89,557.65,567.14,592.33
2016년04월29일,490.00,632.00,542.80,594.33,550.22,619.00,701.41,582.86,537.41,584.88,554.06,556.36,526.16,512.59,557.75,573.58,592.33
2016년04월30일,490.00,632.00,542.80,594.33,550.77,619.00,701.41,581.91,537.01,581.46,552.53,556.55,525.82,511.76,558.06,573.29,592.33
2016년05월01일,490.00,632.00,542.80,594.33,550.77,619.00,701.41,581.91,537.01,581.46,552.53,556.55,525.82,511.76,558.06,573.29,592.33
2016년05월02일,490.00,632.00,542.80,594.33,550.77,619.00,719.75,580.70,536.08,587.63,551.59,554.97,526.58,511.90,557.52,572.91,592.33
2016년05월03일,490.00,626.66,542.77,599.33,550.77,619.00,719.75,581.52,536.78,581.56,550.58,555.03,527.47,511.37,558.52,578.70,592.33
2016년05월04일,490.00,626.66,533.88,604.00,550.77,619.00,719.75,583.77,537.17,582.90,551.40,552.91,528.10,511.39,558.48,590.86,592.33
2016년05월05일,540.00,635.00,532.30,604.00,550.77,619.00,719.75,585.97,539.92,584.20,551.45,554.90,531.43,512.31,558.87,593.84,592.16
2016년05월06일,540.00,635.00,537.30,603.83,550.77,619.00,719.75,587.07,539.49,584.61,550.92,554.50,531.65,512.00,559.25,597.00,592.16
2016년05월07일,540.00,635.00,537.30,603.83,550.77,619.00,719.75,588.40,539.42,586.86,550.69,554.09,526.94,512.69,559.34,601.61,592.16
2016년05월08일,540.00,635.00,537.30,604.00,550.77,619.00,719.75,588.69,539.80,585.20,551.79,556.27,527.30,514.75,559.18,602.64,592.16
2016년05월09일,540.00,635.00,537.30,608.85,550.77,619.00,721.41,588.65,541.29,585.53,552.50,556.27,527.66,514.30,557.41,602.64,592.16
2016년05월10일,540.00,642.00,536.30,610.14,550.77,619.00,721.41,594.49,541.30,589.45,551.37,557.10,527.23,515.45,558.17,601.92,592.16
2016년05월11일,540.00,642.00,536.30,608.85,554.33,619.00,721.41,594.51,542.15,588.26,553.29,556.11,526.87,516.74,559.12,604.02,602.66
2016년05월12일,540.00,628.00,536.30,606.71,554.33,619.00,721.41,597.00,542.33,587.18,551.23,559.02,527.05,519.36,560.84,603.86,596.00
2016년05월13일,540.00,628.00,536.30,607.71,555.44,622.75,723.91,595.28,543.55,588.28,552.40,559.82,527.03,520.09,561.90,605.97,602.66
